"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"PTPRQ"	"PTPRQ"	3.82477543540624	3.01505145910605e-16	82.9310344827586	679.189655172414	317.192583522483
"PTCHD1"	"PTCHD1"	-3.82523313043902	3.22398290790745e-16	566.620689655172	24.2758620689655	2167.45623446117
"CDR1"	"CDR1"	-3.81773678895811	3.53113703355197e-16	559.344827586207	44.8793103448276	2135.43132598929
"YIPF2"	"YIPF2"	3.81459793111995	3.70570445359829e-16	5259.27586206897	76837.5689655172	20062.0228226374
"MRPS18C"	"MRPS18C"	-3.80988098048035	3.99060005206249e-16	472.465517241379	35.2586206896552	1800.03738807074
"ATXN3"	"ATXN3"	3.809405444943	3.99060005206249e-16	60.2586206896552	981.224137931035	229.549517759927
"MPP1"	"MPP1"	3.80469078008244	4.28481729982851e-16	6609.48275862069	100799.155172414	25147.038112838
"PDIA3"	"PDIA3"	-3.80327661274019	4.33499859151983e-16	19573.8448275862	1611.1724137931	74444.7462541641
"INSRR"	"INSRR"	-3.80302435374471	4.33499859151983e-16	729.258620689655	57.6896551724138	2773.38829466103
"LYL1"	"LYL1"	3.79708632870366	4.77658569427711e-16	405.310344827586	6379.94827586207	1538.998369227
"ZNF776"	"ZNF776"	3.78107824692118	6.16073297508674e-16	43.1551724137931	572.965517241379	163.173083655926
"KRT37"	"KRT37"	3.78006796537981	6.21482525656186e-16	46.6379310344828	627.379310344828	176.294549075041
"SCPEP1"	"SCPEP1"	-3.77320782545209	7.15715758838984e-16	724.396551724138	43.8620689655172	2733.29873769603
"ABCD2"	"ABCD2"	3.76614523243376	7.73350738412058e-16	1826.01724137931	26365.1034482759	6877.04612796254
"SLC25A5"	"SLC25A5"	-3.75980335843972	8.525736119176e-16	19346.3275862069	1631.15517241379	72738.3874320958
"PEX11B"	"PEX11B"	-3.75040230600387	9.90064648667476e-16	1519.65517241379	105.655172413793	5699.31826295139
"MRGPRX4"	"MRGPRX4"	3.74919821613847	1.0033922550058e-15	104.793103448276	1586.12068965517	392.89011651189
"GNB4"	"GNB4"	3.74279934481159	1.1069471361111e-15	6650.41379310345	84093.7586206897	24891.1643875536
"FGFR1"	"FGFR1"	-3.73529389367607	1.24873641537008e-15	950.534482758621	46.5862068965517	3550.52564917681
"ABHD14B"	"ABHD14B"	-3.72932919303173	1.36043288862476e-15	12016.6896551724	960.344827586207	44814.1915346368
"SLC25A14"	"SLC25A14"	3.7256910154911	1.36043288862476e-15	80.8965517241379	777.844827586207	301.395555942832
"OR10G3"	"OR10G3"	3.72763016929361	1.38807112339124e-15	600.206896551724	8182.27586206897	2237.34933540429
"IVL"	"IVL"	3.70325322198543	2.04799196264028e-15	392941.931034483	5460366.13793103	1455163.47215662
"MPZL1"	"MPZL1"	3.70303094717546	2.04799196264028e-15	299.448275862069	3960.46551724138	1108.86623259558
"BHMT2"	"BHMT2"	3.70138875567226	2.0898343858202e-15	47000.4310344828	559717.379310345	173966.866942784
"GYG2"	"GYG2"	-3.70173464125068	2.12474076452398e-15	970.775862068965	40.9310344827586	3593.55463751068
"TTC39A"	"TTC39A"	-3.69702756512221	2.21846441336578e-15	814.034482758621	66.9310344827586	3009.50792171862
"ZNF780A"	"ZNF780A"	3.6666213697031	3.58403099067717e-15	140.310344827586	1605.18965517241	514.464908735238
"NPRL2"	"NPRL2"	-3.665199477027	3.67539027963398e-15	12910.1724137931	1154.15517241379	47318.3571793629
"WDR31"	"WDR31"	3.65959178296453	3.99788112701888e-15	764.741379310345	8941.96551724138	2798.6412678171
"CT47A6"	"CT47A6"	3.65514873198493	4.26418229930832e-15	3535.70689655172	46556.8448275862	12923.5345796014
"KPNB1"	"KPNB1"	-3.65461134334079	4.26418229930832e-15	1242.58620689655	107.224137931034	4541.16964680294
"PHC2"	"PHC2"	3.65477037475893	4.26418229930832e-15	414.948275862069	5570.15517241379	1516.54066567799
"LRRCC1"	"LRRCC1"	-3.64661931003072	4.83596734547515e-15	19021.9482758621	1541.94827586207	69365.8038971643
"HOOK3"	"HOOK3"	-3.64301448664769	5.07832642933249e-15	735.431034482759	68.5	2679.18591255099
"LRP10"	"LRP10"	3.64173398762175	5.18241936322003e-15	326.827586206897	3925.63793103448	1190.21912878203
"SEPT3"	"SEPT3"	-3.63786345341503	5.4899929656339e-15	12872.1034482759	1111.37931034483	46826.9547030603
"GOLGA6A"	"GOLGA6A"	-3.63614632541946	5.64614167473949e-15	1865.96551724138	153.827586206897	6784.92365887667
"TMPRSS15"	"TMPRSS15"	-3.62917087659683	6.08768635295635e-15	1056.53448275862	89.9827586206897	3834.34417494788
"C19orf33"	"C19orf33"	3.61851149166974	7.38512214499296e-15	510.844827586207	6327.62068965517	1848.49787908074
"NPHP3"	"NPHP3"	3.61752168163416	7.43134407819855e-15	6851.18965517241	87957.1724137931	24784.3271225739
"ARHGEF10L"	"ARHGEF10L"	-3.61780071478001	7.43134407819855e-15	2539.5	126.844827586207	9187.40491518384
"CD38"	"CD38"	3.6119400128222	8.08880453571823e-15	3957.24137931034	44817.9827586207	14293.3184783267
"MEMO1"	"MEMO1"	3.61075515357926	8.20650476961677e-15	11166.3448275862	143452.189655172	40318.93713285
"CCHCR1"	"CCHCR1"	3.6069980086862	8.67492526929603e-15	1877.46551724138	22585	6772.01438206665
"COX15"	"COX15"	-3.59665988188333	1.03097157117486e-14	819.827586206897	66.3448275862069	2948.64098937159
"RPAIN"	"RPAIN"	3.59408229852467	1.04959041784542e-14	356.362068965517	3450.43103448276	1280.79460393459
"VAV1"	"VAV1"	-3.5871940119721	1.17520150168111e-14	13640.7413793103	1237.13793103448	48931.9857947221
"ATP2C1"	"ATP2C1"	3.57812459285455	1.35199176222874e-14	8735.94827586207	104229.844827586	31258.3113677674
"CFB"	"CFB"	-3.56866142347138	1.56221805269901e-14	1304.36206896552	126.293103448276	4654.82659775655
"IFI35"	"IFI35"	-3.55687063407342	1.88076071248292e-14	206260.706896552	17730.6206896552	733642.651323569
"SCGN"	"SCGN"	3.5421272269421	2.36796762884978e-14	4467.18965517241	50792.0172413793	15823.3541055003
"CEACAM3"	"CEACAM3"	3.53990345519143	2.44195138476969e-14	87290.3965517241	1079397.5862069	308999.576358478
"CA5B"	"CA5B"	-3.53276385067219	2.71466266142196e-14	1501.94827586207	149.568965517241	5306.02857454495
"ARL4D"	"ARL4D"	3.52904067998976	2.87653016947836e-14	1836.06896551724	22449.8275862069	6479.56207057705
"MS4A12"	"MS4A12"	3.52712941389242	2.95265862168731e-14	2343.60344827586	30587.4827586207	8266.19265691349
"MGAT4A"	"MGAT4A"	3.51860912724751	3.38399917974535e-14	148.603448275862	1532.84482758621	522.877449443902
"NIF3L1"	"NIF3L1"	3.51614462624915	3.48747080645446e-14	239.758620689655	3050.18965517241	843.025985734838
"C15orf39"	"C15orf39"	3.51461856958631	3.55384427258944e-14	19104.8448275862	223873.810344828	67146.2424000995
"PLA2G7"	"PLA2G7"	-3.51105911101374	3.74469204104978e-14	1339.68965517241	132.155172413793	4703.72956972396
"TOLLIP"	"TOLLIP"	3.50156706149458	4.33303988419007e-14	7685.18965517241	90629.9482758621	26910.2069578906
"PI4KB"	"PI4KB"	3.50057628914981	4.382500344049e-14	42931.4310344828	511501.465517241	150284.749538581
"NDUFAB1"	"NDUFAB1"	-3.49976885009547	4.42786983733712e-14	4518.08620689655	307.965517241379	15812.2573689425
"PRDM7"	"PRDM7"	3.48518489322977	5.54088089921807e-14	1883.22413793103	19732.9655172414	6563.3843160829
"RETN"	"RETN"	3.48069470030077	5.90787477522025e-14	139.672413793103	1525.15517241379	486.157030467872
"RXFP3"	"RXFP3"	3.47635324767108	6.32543903651401e-14	549.48275862069	6318.55172413793	1910.1961724703
"HRNR"	"HRNR"	-3.47218867642688	6.72090022965022e-14	15977.775862069	1599.24137931034	55477.8524227627
"ARRDC2"	"ARRDC2"	-3.45990895707288	8.12224295537281e-14	1488.34482758621	143.051724137931	5149.5376001786
"NME4"	"NME4"	3.46076674575464	8.12224295537281e-14	62.2068965517241	769.896551724138	215.283558942806
"CTSD"	"CTSD"	-3.45218716439746	9.1112934901679e-14	2781.46551724138	168.431034482759	9602.13955683482
